Starting a PBFT simulation...
ntotal = 13, nbad = 3, maxlag = 0.100000, nsim = 100.
Sim 0, deltat = 1.307791, status = 1.
Sim 1, deltat = 1.444190, status = 1.
Sim 2, deltat = 1.522554, status = 1.
Sim 3, deltat = 1.398240, status = 1.
Sim 4, deltat = 1.495220, status = 1.
Sim 5, deltat = 1.601074, status = 1.
Sim 6, deltat = 1.585913, status = 1.
Sim 7, deltat = 1.244988, status = 1.
Sim 8, deltat = 1.580679, status = 1.
Sim 9, deltat = 1.250398, status = 1.
Sim 10, deltat = 1.429532, status = 1.
Sim 11, deltat = 1.373998, status = 1.
Sim 12, deltat = 1.704234, status = 1.
Sim 13, deltat = 1.599897, status = 1.
Sim 14, deltat = 1.195117, status = 1.
Sim 15, deltat = 1.716359, status = 1.
Sim 16, deltat = 1.201576, status = 1.
Sim 17, deltat = 1.556746, status = 1.
Sim 18, deltat = 1.240122, status = 1.
Sim 19, deltat = 1.253085, status = 1.
Sim 20, deltat = 1.373605, status = 1.
Sim 21, deltat = 1.341776, status = 1.
Sim 22, deltat = 1.624709, status = 1.
Sim 23, deltat = 1.242257, status = 1.
Sim 24, deltat = 1.319091, status = 1.
Sim 25, deltat = 1.126236, status = 1.
Sim 26, deltat = 1.356327, status = 1.
Sim 27, deltat = 1.430229, status = 1.
Sim 28, deltat = 1.667492, status = 1.
Sim 29, deltat = 1.433504, status = 1.
Sim 30, deltat = 1.387388, status = 1.
Sim 31, deltat = 1.442676, status = 1.
Sim 32, deltat = 1.620870, status = 1.
Sim 33, deltat = 1.473688, status = 1.
Sim 34, deltat = 1.546058, status = 1.
Sim 35, deltat = 1.671075, status = 1.
Sim 36, deltat = 1.679887, status = 1.
Sim 37, deltat = 1.702305, status = 1.
Sim 38, deltat = 1.397900, status = 1.
Sim 39, deltat = 1.475352, status = 1.
Sim 40, deltat = 1.521168, status = 1.
Sim 41, deltat = 1.370726, status = 1.
Sim 42, deltat = 1.235340, status = 1.
Sim 43, deltat = 1.281469, status = 1.
Sim 44, deltat = 1.502878, status = 1.
Sim 45, deltat = 1.396146, status = 1.
Sim 46, deltat = 1.429172, status = 1.
Sim 47, deltat = 1.546037, status = 1.
Sim 48, deltat = 1.825569, status = 1.
Sim 49, deltat = 1.332477, status = 1.
Sim 50, deltat = 1.515898, status = 1.
Sim 51, deltat = 1.510561, status = 1.
Sim 52, deltat = 1.286474, status = 1.
Sim 53, deltat = 1.312820, status = 1.
Sim 54, deltat = 1.495846, status = 1.
Sim 55, deltat = 1.478633, status = 1.
Sim 56, deltat = 1.357097, status = 1.
Sim 57, deltat = 1.505566, status = 1.
Sim 58, deltat = 1.468363, status = 1.
Sim 59, deltat = 1.301083, status = 1.
Sim 60, deltat = 1.397230, status = 1.
Sim 61, deltat = 1.418934, status = 1.
Sim 62, deltat = 1.392272, status = 1.
Sim 63, deltat = 1.494872, status = 1.
Sim 64, deltat = 1.492058, status = 1.
Sim 65, deltat = 1.359113, status = 1.
Sim 66, deltat = 1.534307, status = 1.
Sim 67, deltat = 1.253453, status = 1.
Sim 68, deltat = 1.485471, status = 1.
Sim 69, deltat = 1.366460, status = 1.
Sim 70, deltat = 1.516816, status = 1.
Sim 71, deltat = 1.376539, status = 1.
Sim 72, deltat = 1.094225, status = 1.
Sim 73, deltat = 1.384827, status = 1.
Sim 74, deltat = 1.802930, status = 1.
Sim 75, deltat = 1.642799, status = 1.
Sim 76, deltat = 1.537021, status = 1.
Sim 77, deltat = 1.761173, status = 1.
Sim 78, deltat = 1.378639, status = 1.
Sim 79, deltat = 1.328419, status = 1.
Sim 80, deltat = 1.506926, status = 1.
Sim 81, deltat = 1.494257, status = 1.
Sim 82, deltat = 1.448295, status = 1.
Sim 83, deltat = 1.621859, status = 1.
Sim 84, deltat = 1.504588, status = 1.
Sim 85, deltat = 1.439516, status = 1.
Sim 86, deltat = 1.344890, status = 1.
Sim 87, deltat = 1.406921, status = 1.
Sim 88, deltat = 1.697367, status = 1.
Sim 89, deltat = 1.302216, status = 1.
Sim 90, deltat = 1.275741, status = 1.
Sim 91, deltat = 1.381349, status = 1.
Sim 92, deltat = 1.541290, status = 1.
Sim 93, deltat = 1.301758, status = 1.
Sim 94, deltat = 1.330214, status = 1.
Sim 95, deltat = 1.348417, status = 1.
Sim 96, deltat = 1.409887, status = 1.
Sim 97, deltat = 1.632419, status = 1.
Sim 98, deltat = 1.545054, status = 1.
Sim 99, deltat = 1.258475, status = 1.
Total time = 144.496455.
Average time = 1.444965.
100 blocks are successfully places in 100 simulations.
End of the simulation.
